plant_code,plant_name,state,county,unit,EIA,EIA_proposed,NEEDS,CAPD,NESHAP
58931,FGE Texas I,Texas,Mitchell,2,FALSE,TRUE,FALSE,FALSE,FALSE
58931,FGE Texas I,Texas,Mitchell,3,FALSE,TRUE,FALSE,FALSE,FALSE
58933,Shell Chemical Appalachia LLC,Pennsylvania,Beaver,1,TRUE,FALSE,TRUE,TRUE,FALSE
58933,Shell Chemical Appalachia LLC,Pennsylvania,Beaver,2,TRUE,FALSE,TRUE,TRUE,FALSE
58933,Shell Chemical Appalachia LLC,Pennsylvania,Beaver,3,TRUE,FALSE,TRUE,TRUE,FALSE
58933,Shell Chemical Appalachia LLC,Pennsylvania,Beaver,4,TRUE,FALSE,TRUE,TRUE,FALSE
58933,Shell Chemical Appalachia LLC,Pennsylvania,Beaver,5,TRUE,FALSE,TRUE,TRUE,FALSE
58947,Bristol Myers Squibb Lawrenceville,New Jersey,Mercer,1,TRUE,FALSE,TRUE,FALSE,FALSE
59145,Freeport LP Pretreatment Facility,Texas,Brazoria,1,TRUE,FALSE,TRUE,FALSE,FALSE
59335,MCLB Landfill Gas to Energy,Georgia,Dougherty,1,FALSE,FALSE,TRUE,FALSE,FALSE
59425,Zimmerman Energy,Indiana,Marshall,1,FALSE,FALSE,TRUE,FALSE,FALSE
59453,Albany Medical Ctr Cogen Plant,New York,Albany,1,TRUE,FALSE,FALSE,FALSE,FALSE
59529,Bannock County LFG to Energy,Idaho,Bannock,1,FALSE,FALSE,TRUE,FALSE,FALSE
59686,Sarasota County LFGTE Facility,Florida,Sarasota,1,FALSE,FALSE,TRUE,FALSE,FALSE
59688,Wake County LFG Facility,North Carolina,Wake,1,FALSE,FALSE,TRUE,FALSE,FALSE
59688,Wake County LFG Facility,North Carolina,Wake,2,FALSE,FALSE,TRUE,FALSE,FALSE
59688,Wake County LFG Facility,North Carolina,Wake,3,FALSE,FALSE,TRUE,FALSE,FALSE
59688,Wake County LFG Facility,North Carolina,Wake,4,FALSE,FALSE,TRUE,FALSE,FALSE
59688,Wake County LFG Facility,North Carolina,Wake,5,FALSE,FALSE,TRUE,FALSE,FALSE
59688,Wake County LFG Facility,North Carolina,Wake,6,FALSE,FALSE,TRUE,FALSE,FALSE
59882,Exelon West Medway II LLC,Massachusetts,Norfolk,1,TRUE,FALSE,TRUE,TRUE,FALSE
59882,Exelon West Medway II LLC,Massachusetts,Norfolk,2,TRUE,FALSE,TRUE,TRUE,FALSE
59924,Aegle Power,Texas,Cameron,1,FALSE,TRUE,FALSE,FALSE,FALSE
59924,Aegle Power,Texas,Cameron,2,FALSE,TRUE,FALSE,FALSE,FALSE
59924,Aegle Power,Texas,Cameron,3,FALSE,TRUE,FALSE,FALSE,FALSE
60206,ESC Harrison County Power,West Virginia,Harrison,1,FALSE,TRUE,FALSE,FALSE,FALSE
60206,ESC Harrison County Power,West Virginia,Harrison,2,FALSE,TRUE,FALSE,FALSE,FALSE
60345,Okeechobee Clean Energy Center,Florida,Okeechobee,1,TRUE,FALSE,TRUE,FALSE,FALSE
60345,Okeechobee Clean Energy Center,Florida,Okeechobee,2,TRUE,FALSE,TRUE,FALSE,FALSE
60345,Okeechobee Clean Energy Center,Florida,Okeechobee,3,TRUE,FALSE,TRUE,FALSE,FALSE
60345,Okeechobee Clean Energy Center,Florida,Okeechobee,4,TRUE,FALSE,TRUE,FALSE,FALSE
60356,South Field Energy,Ohio,Columbiana,1,TRUE,FALSE,TRUE,TRUE,FALSE
60356,South Field Energy,Ohio,Columbiana,2,TRUE,FALSE,TRUE,TRUE,FALSE
60356,South Field Energy,Ohio,Columbiana,3,TRUE,FALSE,TRUE,TRUE,FALSE
60356,South Field Energy,Ohio,Columbiana,4,TRUE,FALSE,TRUE,TRUE,FALSE
60364,White Street Renewables,North Carolina,Guilford,1,FALSE,FALSE,TRUE,FALSE,FALSE
60387,Invenergy Nelson Expansion LLC,Illinois,Lee,1,TRUE,FALSE,TRUE,TRUE,FALSE
60387,Invenergy Nelson Expansion LLC,Illinois,Lee,2,TRUE,FALSE,TRUE,TRUE,FALSE
60589,CPV Fairview Energy Center,Pennsylvania,Cambria,1,TRUE,FALSE,TRUE,TRUE,FALSE
60589,CPV Fairview Energy Center,Pennsylvania,Cambria,2,TRUE,FALSE,TRUE,TRUE,FALSE
60589,CPV Fairview Energy Center,Pennsylvania,Cambria,3,TRUE,FALSE,TRUE,TRUE,FALSE
60698,Stanton Energy Reliability Center Hybrid,California,Orange,1,TRUE,FALSE,TRUE,TRUE,FALSE
60698,Stanton Energy Reliability Center Hybrid,California,Orange,2,TRUE,FALSE,TRUE,TRUE,FALSE
60703,"Green City Recovery, LLC",Kentucky,Scott,1,FALSE,FALSE,TRUE,FALSE,FALSE
60910,NET Power La Porte Station,Texas,Harris,1,FALSE,TRUE,FALSE,TRUE,FALSE
60925,Montgomery County,Texas,Montgomery,1,TRUE,FALSE,TRUE,TRUE,FALSE
60925,Montgomery County,Texas,Montgomery,2,TRUE,FALSE,TRUE,TRUE,FALSE
60925,Montgomery County,Texas,Montgomery,3,TRUE,FALSE,TRUE,TRUE,FALSE
60926,St. Charles Power Station (LA),Louisiana,St Charles,1,TRUE,FALSE,TRUE,TRUE,FALSE
60926,St. Charles Power Station (LA),Louisiana,St Charles,2,TRUE,FALSE,TRUE,TRUE,FALSE
60926,St. Charles Power Station (LA),Louisiana,St Charles,3,TRUE,FALSE,TRUE,TRUE,FALSE
60927,Lake Charles Power,Louisiana,Calcasieu,1,TRUE,FALSE,TRUE,TRUE,FALSE
60927,Lake Charles Power,Louisiana,Calcasieu,2,TRUE,FALSE,TRUE,TRUE,FALSE
60927,Lake Charles Power,Louisiana,Calcasieu,3,TRUE,FALSE,TRUE,TRUE,FALSE
60928,New Orleans Power,Louisiana,Orleans,1,FALSE,FALSE,TRUE,FALSE,FALSE
61028,Hickory Run Energy Station,Pennsylvania,Lawrence,1,TRUE,FALSE,TRUE,TRUE,FALSE
61028,Hickory Run Energy Station,Pennsylvania,Lawrence,2,TRUE,FALSE,TRUE,TRUE,FALSE
61028,Hickory Run Energy Station,Pennsylvania,Lawrence,3,TRUE,FALSE,TRUE,TRUE,FALSE
61035,Birdsboro Power,Pennsylvania,Berks,1,TRUE,FALSE,TRUE,TRUE,FALSE
61144,Astoria Station,South Dakota,Deuel,1,TRUE,FALSE,TRUE,TRUE,FALSE
61241,Tres City Power LLC,Texas,Victoria,1,TRUE,FALSE,TRUE,TRUE,FALSE
61241,Tres City Power LLC,Texas,Victoria,2,TRUE,FALSE,TRUE,TRUE,FALSE
61242,"Tres Port Power, LLC",Texas,Victoria,1,TRUE,FALSE,TRUE,TRUE,FALSE
61242,"Tres Port Power, LLC",Texas,Victoria,2,TRUE,FALSE,TRUE,TRUE,FALSE
61322,Long Ridge Energy Generation,Ohio,Monroe,1,TRUE,FALSE,TRUE,TRUE,FALSE
61675,NCSU CCUP Cogeneration Plant,North Carolina,Wake,1,TRUE,FALSE,TRUE,FALSE,FALSE
61956,MCRD Parris Island PV Hybrid,South Carolina,Beaufort,1,TRUE,FALSE,TRUE,FALSE,FALSE
61966,Victoria Port Power II LLC,Texas,Victoria,1,TRUE,FALSE,TRUE,TRUE,FALSE
61966,Victoria Port Power II LLC,Texas,Victoria,2,TRUE,FALSE,TRUE,TRUE,FALSE
62022,Lincoln Land Energy Center,Illinois,Sangamon,1,FALSE,TRUE,FALSE,FALSE,FALSE
62022,Lincoln Land Energy Center,Illinois,Sangamon,2,FALSE,TRUE,FALSE,FALSE,FALSE
62115,AES Alamitos Energy Center,California,Los Angeles,1,TRUE,FALSE,TRUE,FALSE,FALSE
62115,AES Alamitos Energy Center,California,Los Angeles,2,TRUE,FALSE,TRUE,FALSE,FALSE
62115,AES Alamitos Energy Center,California,Los Angeles,3,TRUE,FALSE,TRUE,FALSE,FALSE
62116,AES Huntington Beach Energy Project,California,Orange,1,TRUE,FALSE,TRUE,FALSE,FALSE
62116,AES Huntington Beach Energy Project,California,Orange,2,TRUE,FALSE,TRUE,FALSE,FALSE
62116,AES Huntington Beach Energy Project,California,Orange,3,TRUE,FALSE,TRUE,FALSE,FALSE
62192,Blue Water Energy Center,Michigan,St Clair,1,TRUE,FALSE,TRUE,TRUE,FALSE
62192,Blue Water Energy Center,Michigan,St Clair,2,TRUE,FALSE,TRUE,TRUE,FALSE
62192,Blue Water Energy Center,Michigan,St Clair,3,TRUE,FALSE,TRUE,TRUE,FALSE
62289,Dearborn Energy Center,Michigan,Wayne,1,TRUE,FALSE,TRUE,FALSE,FALSE
62289,Dearborn Energy Center,Michigan,Wayne,2,TRUE,FALSE,TRUE,FALSE,FALSE
62289,Dearborn Energy Center,Michigan,Wayne,3,TRUE,FALSE,TRUE,FALSE,FALSE
62449,Kimberly Clark Mobile - CHP Plant,Alabama,Mobile,1,TRUE,FALSE,FALSE,FALSE,FALSE
62449,Kimberly Clark Mobile - CHP Plant,Alabama,Mobile,2,TRUE,FALSE,FALSE,FALSE,FALSE
62548,SJRR Power LLC,Texas,Harris,1,TRUE,FALSE,TRUE,TRUE,FALSE
62548,SJRR Power LLC,Texas,Harris,2,TRUE,FALSE,TRUE,TRUE,FALSE
62565,"Hill Top Energy Center, LLC",Pennsylvania,Greene,1,TRUE,FALSE,TRUE,TRUE,FALSE
62641,Morehead Generating Facility,Kentucky,Rowan,1,FALSE,FALSE,TRUE,FALSE,FALSE
62926,"Jackson Generation, LLC",Illinois,Will,1,TRUE,FALSE,TRUE,TRUE,FALSE
62926,"Jackson Generation, LLC",Illinois,Will,2,TRUE,FALSE,TRUE,TRUE,FALSE
62949,Guernsey Power Station,Ohio,Guernsey,1,TRUE,FALSE,TRUE,TRUE,FALSE
62949,Guernsey Power Station,Ohio,Guernsey,2,TRUE,FALSE,TRUE,TRUE,FALSE
62949,Guernsey Power Station,Ohio,Guernsey,3,TRUE,FALSE,TRUE,TRUE,FALSE
63063,Duke Energy CHP at Clemson University,South Carolina,Pickens,1,TRUE,FALSE,TRUE,FALSE,FALSE
63259,Delta Energy Park,Michigan,Eaton,1,TRUE,FALSE,TRUE,TRUE,FALSE
63259,Delta Energy Park,Michigan,Eaton,2,TRUE,FALSE,TRUE,TRUE,FALSE
63259,Delta Energy Park,Michigan,Eaton,3,TRUE,FALSE,TRUE,TRUE,FALSE
63259,Delta Energy Park,Michigan,Eaton,4,TRUE,FALSE,TRUE,TRUE,FALSE
63335,HO Clarke Generating,Texas,Harris,1,TRUE,FALSE,TRUE,TRUE,FALSE
63335,HO Clarke Generating,Texas,Harris,2,TRUE,FALSE,TRUE,TRUE,FALSE
63335,HO Clarke Generating,Texas,Harris,3,TRUE,FALSE,TRUE,TRUE,FALSE
63335,HO Clarke Generating,Texas,Harris,4,TRUE,FALSE,TRUE,TRUE,FALSE
63335,HO Clarke Generating,Texas,Harris,5,TRUE,FALSE,TRUE,TRUE,FALSE
63335,HO Clarke Generating,Texas,Harris,6,TRUE,FALSE,TRUE,TRUE,FALSE
63335,HO Clarke Generating,Texas,Harris,7,TRUE,FALSE,TRUE,TRUE,FALSE
63335,HO Clarke Generating,Texas,Harris,8,TRUE,FALSE,TRUE,TRUE,FALSE
63423,BYU Central Heating Plant,Utah,Utah,1,TRUE,FALSE,TRUE,FALSE,FALSE
63535,Solar BESS Hybrid,Georgia,Cobb,1,TRUE,FALSE,TRUE,FALSE,FALSE
63559,MMWEC Simple Cycle Gas Turbine,Massachusetts,Essex,1,FALSE,TRUE,TRUE,FALSE,FALSE
63688,Topaz Generating,Texas,Galveston,1,TRUE,FALSE,TRUE,TRUE,FALSE
63688,Topaz Generating,Texas,Galveston,2,TRUE,FALSE,TRUE,TRUE,FALSE
63688,Topaz Generating,Texas,Galveston,3,TRUE,FALSE,TRUE,TRUE,FALSE
63688,Topaz Generating,Texas,Galveston,4,TRUE,FALSE,TRUE,TRUE,FALSE
63688,Topaz Generating,Texas,Galveston,5,TRUE,FALSE,TRUE,TRUE,FALSE
63688,Topaz Generating,Texas,Galveston,6,TRUE,FALSE,TRUE,TRUE,FALSE
63688,Topaz Generating,Texas,Galveston,7,TRUE,FALSE,TRUE,TRUE,FALSE
