state,county,plant_name,owner_name,unit,EIA,EIA_proposed,NEEDS,NESHAP
Florida,Okeechobee,Okeechobee Clean Energy Center,Florida Power & Light Co,1,TRUE,FALSE,TRUE,FALSE
Florida,Okeechobee,Okeechobee Clean Energy Center,Florida Power & Light Co,2,TRUE,FALSE,TRUE,FALSE
Florida,Okeechobee,Okeechobee Clean Energy Center,Florida Power & Light Co,3,TRUE,FALSE,TRUE,FALSE
Florida,Okeechobee,Okeechobee Clean Energy Center,Florida Power & Light Co,4,TRUE,FALSE,TRUE,FALSE
Florida,Pasco,Shady Hills Combined Cycle Facility,NA,1,FALSE,TRUE,FALSE,FALSE
Florida,Polk,C D McIntosh Jr,Lakeland Dept of Electric Water Utilities,1,TRUE,FALSE,TRUE,FALSE
Florida,Putnam,Seminole (FL),NA,1,FALSE,TRUE,FALSE,FALSE
Florida,Putnam,Seminole (FL),NA,2,FALSE,TRUE,FALSE,FALSE
Florida,Putnam,Seminole (FL),NA,3,FALSE,TRUE,FALSE,FALSE
Georgia,Cobb,Solar BESS Hybrid,Cobb Electric Membership Corporation,1,TRUE,FALSE,TRUE,FALSE
Illinois,Grundy,CPV Three Rivers Energy Center,NA,1,FALSE,TRUE,FALSE,FALSE
Illinois,Grundy,CPV Three Rivers Energy Center,NA,2,FALSE,TRUE,FALSE,FALSE
Illinois,Lee,Invenergy Nelson Expansion LLC,NA,1,FALSE,TRUE,FALSE,FALSE
Illinois,Lee,Invenergy Nelson Expansion LLC,NA,2,FALSE,TRUE,FALSE,FALSE
Illinois,Sangamon,Lincoln Land Energy Center,NA,1,FALSE,TRUE,FALSE,FALSE
Illinois,Sangamon,Lincoln Land Energy Center,NA,2,FALSE,TRUE,FALSE,FALSE
Illinois,Will,"Jackson Generation, LLC","Jackson Generation, LLC",1,TRUE,FALSE,TRUE,FALSE
Illinois,Will,"Jackson Generation, LLC","Jackson Generation, LLC",2,TRUE,FALSE,TRUE,FALSE
Indiana,LaGrange,ANR LaGrange CS,ANR Pipeline Company,1,FALSE,FALSE,FALSE,TRUE
Indiana,Morgan,Eagle Valley (IN),Indianapolis Power & Light,1,TRUE,FALSE,TRUE,FALSE
Indiana,Morgan,Eagle Valley (IN),Indianapolis Power & Light,2,TRUE,FALSE,TRUE,FALSE
Indiana,Morgan,Eagle Valley (IN),Indianapolis Power & Light,3,TRUE,FALSE,TRUE,FALSE
Indiana,Posey,A B Brown,NA,1,FALSE,TRUE,FALSE,FALSE
Indiana,Posey,A B Brown,NA,2,FALSE,TRUE,FALSE,FALSE
Indiana,St Joseph,St Joseph Energy Center,St Joseph Energy Center LLC,1,TRUE,FALSE,TRUE,FALSE
Indiana,St Joseph,St Joseph Energy Center,St Joseph Energy Center LLC,2,TRUE,FALSE,TRUE,FALSE
Indiana,St Joseph,St Joseph Energy Center,St Joseph Energy Center LLC,3,TRUE,FALSE,TRUE,FALSE
Indiana,St Joseph,University of Notre Dame,University of Notre Dame,1,TRUE,FALSE,TRUE,FALSE
Indiana,St Joseph,University of Notre Dame,University of Notre Dame,2,TRUE,FALSE,TRUE,FALSE
Indiana,Tippecanoe,Primary Products Ingredients Americas,"Primary Products Ingredients Americas, LLC (formerly Tate & Lyle)",1,FALSE,FALSE,FALSE,TRUE
